,Player,Team,Position,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
1255,Collin Graf,S.J,R,7,96.61666667,59,109,35.12,43,78,35.54,29,50,36.71,2,6,25,2.35,5.3,30.69,33,53,38.37,9,23,28.13,2,5,28.57,6.9,88,0.949,6,15,16,77,27.27,16,23,40,28.57
1254,Patrik Koch,ARI,D,1,9.333333333,11,11,50,6,6,50,6,5,54.55,1,1,50,0.17,0.59,21.89,2,4,33.33,0,2,0,0,1,0,16.67,80,0.967,1,3,0,8,100,2,4,0,100
1253,Waltteri Merela,T.B,C,19,170.5,135,136,49.82,86,93,48.04,62,69,47.33,4,2,66.67,5.04,6.48,43.74,59,53,52.68,27,22,55.1,2,1,66.67,6.45,97.1,1.036,25,45,26,143,49.02,33,61,49,40.24
1252,Nikolas Matinpalo,OTT,D,4,27.33333333,29,27,51.79,23,17,57.5,14,16,46.67,2,1,66.67,1.17,1.21,49.03,14,12,53.85,3,5,37.5,0,0,-,14.29,93.75,1.08,6,7,4,26,60,6,11,7,46.15
1251,Jiri Smejkal,OTT,L,20,164.3166667,140,190,42.42,103,118,46.61,57,83,40.71,2,7,22.22,5.13,6.84,42.84,55,79,41.04,13,32,28.89,0,3,0,3.51,91.57,0.951,24,24,18,160,57.14,39,36,41,48.75
1250,Uvis Balinskis,FLA,D,26,339.6666667,330,281,54.01,227,214,51.47,167,156,51.7,10,8,55.56,12.38,12.88,49.02,140,141,49.82,54,62,46.55,6,5,54.55,5.99,94.87,1.009,48,68,43,293,52.75,107,109,77,58.15
1249,Cole McWard,VAN,D,6,78.13333333,65,70,48.15,41,50,45.05,27,38,41.54,1,2,33.33,2.14,3.51,37.82,25,43,36.76,9,19,32.14,0,2,0,3.7,94.74,0.984,8,16,2,76,80,19,21,7,73.08
1248,Ondrej Pavel,COL,C,2,12.2,15,5,75,9,3,75,6,3,66.67,0,1,0,0.68,0.11,86.01,8,1,88.89,3,0,100,0,0,-,0,66.67,0.667,1,4,0,15,100,3,6,1,75
1247,Sam Malinski,COL,D,23,307.9,292,317,47.95,205,220,48.24,142,143,49.82,16,13,55.17,11.28,13.26,45.98,135,125,51.92,53,59,47.32,8,9,47.06,11.27,90.91,1.022,20,57,51,251,28.17,45,92,94,32.37
1246,Jake Livingstone,NSH,D,5,75.26666667,57,109,34.34,42,78,35,32,59,35.16,2,4,33.33,3.45,5.25,39.62,33,50,39.76,16,24,40,1,2,33.33,6.25,93.22,0.995,9,11,12,62,42.86,20,18,21,48.78
1245,Jason Polin,COL,R,7,51.3,42,41,50.6,27,26,50.94,19,19,50,1,0,100,1.16,0.95,55.15,15,11,57.69,6,3,66.67,0,0,-,5.26,100,1.053,3,20,5,48,37.5,6,23,14,30
1244,Akito Hirose,VAN,D,10,132.45,78,128,37.86,58,91,38.93,38,68,35.85,3,2,60,3.03,6.3,32.51,41,72,36.28,17,36,32.08,2,2,50,7.89,97.06,1.05,10,29,10,131,50,26,42,29,47.27
1243,Bradly Nadeau,CAR,L,1,17.11666667,18,10,64.29,14,8,63.64,8,5,61.54,0,3,0,0.56,0.46,54.71,9,5,64.29,2,3,40,0,1,0,0,40,0.4,1,1,3,12,25,2,4,3,40
1242,Adam Fantilli,CBJ,C,49,613.9166667,568,654,46.48,390,482,44.72,270,347,43.76,26,44,37.14,24.39,30.24,44.64,253,304,45.42,89,122,42.18,10,21,32.26,9.63,87.32,0.969,118,108,49,473,70.66,225,157,139,61.81
1241,Leo Carlsson,ANA,C,55,786.35,755,736,50.64,559,537,51,387,362,51.67,27,33,45,33.29,33.12,50.13,348,329,51.4,125,135,48.08,16,19,45.71,6.98,90.88,0.979,108,170,90,547,54.55,210,227,215,49.41
1240,Gavin Brindley,CBJ,C,1,10.85,5,6,45.45,3,5,37.5,3,3,50,0,0,-,0.13,0.08,62.16,1,1,50,1,1,50,0,0,-,0,100,1,1,3,3,5,25,3,3,4,42.86
1239,Zach Benson,BUF,L,71,886.4833333,906,803,53.01,648,579,52.81,461,397,53.73,35,38,47.95,37.94,36.08,51.25,423,393,51.84,159,168,48.62,17,21,44.74,7.59,90.43,0.98,157,179,111,658,58.58,244,232,215,53.16
1238,Connor Bedard,CHI,C,68,1043.15,892,1203,42.58,627,874,41.77,438,608,41.87,37,67,35.58,41.3,54.58,43.07,432,598,41.94,160,255,38.55,19,35,35.19,8.45,88.98,0.974,186,203,91,658,67.15,381,288,265,58.98
1237,Hunter McKown,CBJ,C,12,124.8,97,124,43.89,68,102,40,44,69,38.94,4,8,33.33,3.83,6.41,37.43,44,62,41.51,16,30,34.78,3,6,33.33,9.09,88.41,0.975,20,31,17,85,54.05,29,42,29,50
1236,Pierrick Dube,WSH,R,3,27.8,18,25,41.86,15,12,55.56,7,7,50,1,0,100,0.86,0.99,46.46,9,12,42.86,2,4,33.33,0,0,-,14.29,100,1.143,3,9,4,24,42.86,3,11,12,20
1235,Andrei Kuzmenko,"CGY, VAN",L,153,1839.383333,1779,1593,52.76,1298,1190,52.17,891,853,51.09,106,86,55.21,84.04,74.2,53.11,899,801,52.88,387,343,53.01,60,37,61.86,11.9,89.92,1.018,346,370,180,1562,65.78,600,526,413,59.23
1234,Maksymilian Szuber,ARI,D,1,16.85,22,17,56.41,17,13,56.67,12,11,52.17,0,1,0,1.6,0.7,69.55,9,4,69.23,7,0,100,0,0,-,0,90.91,0.909,1,1,4,18,20,5,6,7,41.67
1233,Anton Levtchi,FLA,L,2,17.66666667,6,21,22.22,4,19,17.39,3,13,18.75,0,0,-,0.31,1.25,19.66,4,9,30.77,2,6,25,0,0,-,0,100,1,3,4,2,15,60,5,4,4,55.56
1232,Pavol Regenda,ANA,L,19,190.8833333,162,196,45.25,129,154,45.58,91,117,43.75,4,8,33.33,7.5,9.08,45.24,86,97,46.99,38,41,48.1,2,4,33.33,4.4,93.16,0.976,33,40,29,152,53.23,56,53,50,52.83
1231,Marcus Bjork,CBJ,D,33,486.8333333,438,548,44.42,326,422,43.58,228,306,42.7,16,21,43.24,19.98,25.97,43.49,215,265,44.79,84,119,41.38,7,15,31.82,7.02,93.14,1.002,60,110,90,397,40,129,154,178,42.02
1230,Filip Roos,CHI,D,21,305.7,239,321,42.68,178,247,41.88,124,180,40.79,10,19,34.48,10.86,13.97,43.72,116,150,43.61,43,57,43,6,10,37.5,8.06,89.44,0.975,36,52,32,267,52.94,80,81,72,52.63
1229,Adam Klapka,CGY,R,6,40.56666667,26,47,35.62,17,34,33.33,13,22,37.14,1,2,33.33,0.62,2.28,21.45,9,21,30,3,11,21.43,0,1,0,7.69,90.91,0.986,6,7,0,47,100,6,11,3,66.67
1228,Milos Kelemen,ARI,L,24,181.8,135,191,41.41,89,143,38.36,58,91,38.93,3,10,23.08,4.54,9.05,33.42,54,96,36,20,43,31.75,1,5,16.67,5.17,89.01,0.942,25,48,33,173,43.1,44,64,61,41.9
1227,Ben Meyers,"ANA, COL",C,67,626.9666667,521,516,50.24,361,388,48.2,250,284,46.82,15,28,34.88,21.91,20.5,51.66,239,234,50.53,101,99,50.5,7,12,36.84,6,90.14,0.961,79,131,72,572,52.32,126,179,151,45.49
1226,Georgii Merkulov,BOS,C,4,40.91666667,29,38,43.28,20,26,43.48,15,21,41.67,1,0,100,1.28,1.87,40.7,12,17,41.38,4,10,28.57,0,0,-,6.67,100,1.067,7,11,6,29,53.85,8,15,12,40
1225,Nick Blankenburg,CBJ,D,55,872.3333333,837,942,47.05,608,700,46.48,441,510,46.37,35,52,40.23,39.27,43.37,47.52,406,463,46.72,161,180,47.21,16,26,38.1,7.94,89.8,0.977,109,170,131,696,45.42,280,265,271,50.82
1224,Lucas Condotta,MTL,"C, L",4,32.2,23,32,41.82,20,25,44.44,16,16,50,2,1,66.67,2.04,1.1,65.02,14,14,50,10,7,58.82,2,1,66.67,12.5,93.75,1.063,7,6,2,29,77.78,7,8,7,50
1223,Marshall Rifai,TOR,D,2,22.95,20,22,47.62,17,17,50,12,13,48,1,0,100,0.62,0.97,39.04,4,6,40,2,2,50,0,0,-,8.33,100,1.083,1,6,1,28,50,4,6,2,66.67
