Player,S/C,Pos,GP,G,A,P,+/-,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP
A.J. Greer,L,L,129.0,12.0,14.0,26.0,2.0,0.2,11.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0,137.0,8.8,8.9
Aaron Ekblad,R,D,183.0,33.0,80.0,113.0,51.0,0.62,20.0,66.0,12.0,43.0,1.0,4.0,2.0,5.0,494.0,6.7,23.2
Adam Beckman,L,L,23.0,0.0,3.0,3.0,-5.0,0.13,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,10.033333333333333
Adam Boqvist,R,D,133.0,17.0,39.0,56.0,-31.0,0.42,14.0,37.0,3.0,19.0,0.0,0.0,0.0,2.0,177.0,9.6,17.916666666666668
Adam Brooks,L,C,25.0,2.0,1.0,3.0,2.0,0.12,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,14.3,8.95
Adam Erne,L,L,164.0,15.0,24.0,39.0,-34.0,0.24,15.0,38.0,0.0,0.0,0.0,1.0,0.0,3.0,176.0,8.5,12.566666666666666
Adam Fantilli,L,C,49.0,12.0,15.0,27.0,-21.0,0.55,11.0,24.0,1.0,3.0,0.0,0.0,0.0,1.0,115.0,10.4,15.716666666666667
Adam Fox,R,D,232.0,40.0,179.0,219.0,67.0,0.94,31.0,117.0,7.0,95.0,2.0,7.0,3.0,12.0,454.0,8.8,23.933333333333334
Adam Gaudette,R,R,60.0,5.0,9.0,14.0,-9.0,0.23,3.0,12.0,2.0,2.0,0.0,0.0,0.0,1.0,94.0,5.3,11.266666666666667
Adam Henrique,L,C,202.0,65.0,66.0,131.0,-1.0,0.65,48.0,95.0,15.0,31.0,2.0,5.0,0.0,5.0,413.0,15.7,17.416666666666668
Adam Larsson,R,D,245.0,20.0,56.0,76.0,10.0,0.31,19.0,73.0,0.0,1.0,1.0,2.0,2.0,6.0,392.0,5.1,22.95
Adam Lowry,L,C,242.0,38.0,54.0,92.0,22.0,0.38,31.0,74.0,0.0,6.0,7.0,12.0,1.0,3.0,360.0,10.6,15.75
Adam Pelech,L,D,197.0,10.0,55.0,65.0,33.0,0.33,10.0,61.0,0.0,0.0,0.0,4.0,1.0,1.0,272.0,3.7,21.1
Adam Ruzicka,L,C,114.0,14.0,25.0,39.0,-2.0,0.34,12.0,29.0,2.0,10.0,0.0,0.0,0.0,3.0,132.0,10.6,10.666666666666666
Adrian Kempe,L,R,237.0,104.0,92.0,196.0,33.0,0.83,73.0,123.0,22.0,63.0,9.0,10.0,4.0,17.0,743.0,14.0,18.75
Alec Martinez,L,D,158.0,10.0,29.0,39.0,34.0,0.25,9.0,35.0,0.0,3.0,1.0,1.0,1.0,2.0,180.0,5.6,19.216666666666665
Alec Regula,R,D,19.0,1.0,0.0,1.0,-4.0,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,17.616666666666667
Aleksander Barkov,L,C,208.0,85.0,161.0,246.0,79.0,1.18,55.0,152.0,25.0,85.0,5.0,9.0,2.0,15.0,615.0,13.8,20.366666666666667
Aleksi Heponiemi,L,C,16.0,1.0,3.0,4.0,-7.0,0.25,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,7.7,10.633333333333333
Alex Barré-Boulet,L,C,53.0,9.0,6.0,15.0,-9.0,0.28,7.0,12.0,2.0,3.0,0.0,0.0,0.0,0.0,63.0,14.3,11.116666666666667
Alex Belzile,R,R,42.0,6.0,8.0,14.0,0.0,0.33,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,11.3,11.683333333333334
Alex Chiasson,R,R,87.0,19.0,12.0,31.0,-4.0,0.36,8.0,14.0,11.0,17.0,0.0,0.0,0.0,2.0,123.0,15.5,11.733333333333333
Alex DeBrincat,R,R,246.0,95.0,116.0,211.0,-43.0,0.86,59.0,134.0,36.0,77.0,0.0,0.0,6.0,13.0,770.0,12.3,19.25
Alex Formenton,L,L,79.0,18.0,14.0,32.0,-13.0,0.41,13.0,26.0,0.0,0.0,5.0,6.0,0.0,1.0,162.0,11.1,15.45
Alex Galchenyuk,L,C,71.0,6.0,15.0,21.0,-19.0,0.3,6.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,97.0,6.2,12.216666666666667
Alex Goligoski,L,D,154.0,4.0,42.0,46.0,24.0,0.3,4.0,39.0,0.0,7.0,0.0,0.0,1.0,2.0,175.0,2.3,17.583333333333332
Alex Iafallo,L,L,220.0,42.0,58.0,100.0,32.0,0.45,29.0,78.0,12.0,19.0,1.0,3.0,1.0,9.0,468.0,9.0,16.716666666666665
Alex Killorn,L,L,227.0,70.0,89.0,159.0,4.0,0.7,55.0,124.0,14.0,33.0,1.0,2.0,3.0,12.0,452.0,15.5,18.166666666666668
Alex Laferriere,R,R,81.0,12.0,11.0,23.0,-14.0,0.28,12.0,20.0,0.0,3.0,0.0,0.0,0.0,2.0,147.0,8.2,13.216666666666667
Alex Newhook,L,C,208.0,42.0,55.0,97.0,0.0,0.47,36.0,81.0,6.0,16.0,0.0,0.0,0.0,10.0,314.0,13.4,14.6
Alex Nylander,R,L,37.0,12.0,5.0,17.0,0.0,0.46,10.0,15.0,2.0,2.0,0.0,0.0,0.0,2.0,83.0,14.5,15.283333333333333
Alex Ovechkin,R,L,229.0,123.0,107.0,230.0,-30.0,1.0,79.0,147.0,43.0,82.0,1.0,1.0,2.0,13.0,900.0,13.7,19.983333333333334
Alex Pietrangelo,R,D,217.0,28.0,103.0,131.0,15.0,0.6,23.0,88.0,4.0,36.0,1.0,7.0,2.0,5.0,538.0,5.2,24.1
Alex Tuch,R,R,199.0,70.0,106.0,176.0,20.0,0.88,55.0,134.0,12.0,39.0,3.0,3.0,1.0,16.0,549.0,12.8,19.1
Alex Turcotte,L,C,32.0,1.0,3.0,4.0,3.0,0.13,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.5,9.483333333333333
Alex Vlasic,L,D,97.0,3.0,16.0,19.0,-7.0,0.2,3.0,17.0,0.0,2.0,0.0,0.0,0.0,1.0,87.0,3.5,20.25
